date,change_per,close,high,index,low,name,open,ticket,volume
2019-04-02,0.42,142500.0,143000.0,VN 30 (VNI30),140900.0,Cotec Construction JSC,142000.0,CTD,1105900.0
2019-04-01,-1.05,141900.0,142200.0,VN 30 (VNI30),141000.0,Cotec Construction JSC,141000.0,CTD,659300.0000000001
2019-03-29,-1.78,143400.0,146200.0,VN 30 (VNI30),143000.0,Cotec Construction JSC,146000.0,CTD,898300.0
2019-03-28,2.82,146000.0,146000.0,VN 30 (VNI30),141000.0,Cotec Construction JSC,141000.0,CTD,2125200.0
2019-03-27,1.14,142000.0,142000.0,VN 30 (VNI30),140400.0,Cotec Construction JSC,140500.0,CTD,428900.0
2019-03-26,1.74,140400.0,140400.0,VN 30 (VNI30),137000.0,Cotec Construction JSC,137000.0,CTD,799000.0
2019-03-25,-3.43,138000.0,141300.0,VN 30 (VNI30),138000.0,Cotec Construction JSC,141000.0,CTD,884500.0
2019-03-22,0.63,142900.0,142900.0,VN 30 (VNI30),140000.0,Cotec Construction JSC,142000.0,CTD,1148100.0
2019-03-21,0.07,142000.0,142800.0,VN 30 (VNI30),141000.0,Cotec Construction JSC,141800.0,CTD,1943800.0
2019-03-20,-0.28,141900.0,143000.0,VN 30 (VNI30),140000.0,Cotec Construction JSC,142500.0,CTD,853100.0
2019-03-19,0.42,142300.0,143500.0,VN 30 (VNI30),141500.0,Cotec Construction JSC,142000.0,CTD,2038500.0
2019-03-18,-0.21,141700.0,142700.0,VN 30 (VNI30),141200.0,Cotec Construction JSC,142000.0,CTD,959700.0
2019-03-15,-1.53,142000.0,144300.0,VN 30 (VNI30),142000.0,Cotec Construction JSC,144300.0,CTD,1399800.0
2019-03-14,1.55,144200.0,144800.0,VN 30 (VNI30),142000.0,Cotec Construction JSC,142000.0,CTD,1764199.9999999998
2019-03-13,0.07,142000.0,142400.0,VN 30 (VNI30),141500.0,Cotec Construction JSC,142000.0,CTD,1585500.0
2019-03-12,0.64,141900.0,142900.0,VN 30 (VNI30),140200.0,Cotec Construction JSC,141000.0,CTD,2982500.0
2019-03-11,-0.07,141000.0,142000.0,VN 30 (VNI30),138000.0,Cotec Construction JSC,142000.0,CTD,1521300.0
2019-03-08,4.13,141100.0,144900.0,VN 30 (VNI30),133500.0,Cotec Construction JSC,135500.0,CTD,4279700.0
2019-03-07,1.88,135500.0,136000.0,VN 30 (VNI30),131900.0,Cotec Construction JSC,133000.0,CTD,2372000.0
2019-03-06,-0.37,133000.0,135000.0,VN 30 (VNI30),131900.0,Cotec Construction JSC,133500.0,CTD,1850400.0
2019-03-05,-0.52,133500.0,136000.0,VN 30 (VNI30),133500.0,Cotec Construction JSC,134200.0,CTD,1878800.0
2019-03-04,0.0,134200.0,136900.0,VN 30 (VNI30),134200.0,Cotec Construction JSC,134200.0,CTD,1546399.9999999998
2019-03-01,0.3,134200.0,135000.0,VN 30 (VNI30),134000.0,Cotec Construction JSC,134000.0,CTD,510900.00000000006
2019-02-28,-1.98,133800.0,137500.0,VN 30 (VNI30),133800.0,Cotec Construction JSC,137500.0,CTD,1242200.0
2019-02-27,0.66,136500.0,136900.0,VN 30 (VNI30),135600.0,Cotec Construction JSC,136000.0,CTD,498600.0
2019-02-26,-0.29,135600.0,138000.0,VN 30 (VNI30),135000.0,Cotec Construction JSC,136900.0,CTD,818300.0
2019-02-25,1.34,136000.0,137000.0,VN 30 (VNI30),134200.0,Cotec Construction JSC,134200.0,CTD,715699.9999999999
2019-02-22,-2.04,134200.0,137000.0,VN 30 (VNI30),134200.0,Cotec Construction JSC,135800.0,CTD,1110400.0
2019-02-21,-0.07,137000.0,137100.0,VN 30 (VNI30),136000.0,Cotec Construction JSC,137100.0,CTD,826000.0
